,gyroscope,light,accelerometer,magnetic,pressure
980,28343.0,,,,
981,,,,,
982,,,,28347.0,
983,,,28347.0,,
984,28347.0,,,,
985,,,,,
986,,,28352.0,,
987,28355.0,,,,
988,,,,,
989,,,28358.0,,
990,28358.0,,,,
991,,,,,
992,,,,28358.0,
993,,,28363.0,,
994,28365.0,,,,
995,,,,,
996,,,28366.0,,
997,28367.0,,,,
998,,,,,
999,,,28368.0,,
1000,28369.0,,,,
1001,,,,,
1002,,,,28370.0,
1003,,,28373.0,,
1004,28374.0,,,,
1005,,,,,
1006,,,28377.0,,
1007,28378.0,,,,
1008,,,,,
1009,,,28381.0,,
1010,28382.0,,,,
1011,,,,,
1012,,,,28383.0,
1013,,,28385.0,,
1014,28385.0,,,,
1015,,,,,
1016,,,28390.0,,
1017,28390.0,,,,
1018,,,,,
1019,,,28394.0,,
1020,28394.0,,,,
1021,,,,,
1022,,,,28395.0,
1023,,,28398.0,,
1024,28399.0,,,,
1025,,,,,
1026,,,28403.0,,
1027,28403.0,,,,
1028,,,,,
1029,,,28407.0,,
1030,28408.0,,,,
1031,,,,,
1032,,,,28408.0,
1033,,,28412.0,,
1034,28412.0,,,,
1035,,,,,
1036,,,28416.0,,
1037,28416.0,,,,
1038,,,,,
1039,,28420.0,,,
1040,,,28421.0,,
1041,28421.0,,,,
1042,,,,,
1043,,,,28422.0,
1044,,,28424.0,,
1045,28425.0,,,,
1046,,,,,
1047,,,28429.0,,
1048,28430.0,,,,
1049,,,,,
1050,,,28434.0,,
1051,28434.0,,,,
1052,,,,,
1053,,,,28436.0,
1054,,,28438.0,,
1055,28438.0,,,,
1056,,,,,
1057,,,28443.0,,
1058,28443.0,,,,
1059,,,,,
1060,,,28447.0,,
1061,28447.0,,,,
1062,,,,,
1063,,,,28449.0,
1064,,,28451.0,,
1065,28451.0,,,,
1066,,,,,
1067,,,28455.0,,
1068,28456.0,,,,
1069,,,,,
1070,,,28460.0,,
1071,28461.0,,,,
1072,,,,,
1073,,,,28461.0,
1074,,,28464.0,,
1075,28465.0,,,,
1076,,,,,
1077,,,28469.0,,
1078,28469.0,,,,
1079,,,,,
1080,,,28473.0,,
1081,28473.0,,,,
1082,,,,,
1083,,,,28474.0,
1084,,,28477.0,,
1085,28477.0,,,,
1086,,,,,
1087,,,,,28478.0
1088,,,28484.0,,
1089,28485.0,,,,
1090,,,,,
1091,,,28486.0,,
1092,28486.0,,,,
1093,,,,,
1094,,,,28487.0,
1095,,,28490.0,,
1096,28490.0,,,,
1097,,,,,
1098,,,28495.0,,
1099,28495.0,,,,
1100,,,,,
1101,,,28499.0,,
1102,28500.0,,,,
1103,,,,,
1104,,,,28501.0,
1105,,,28503.0,,
1106,28503.0,,,,
1107,,,,,
1108,,,28508.0,,
1109,28508.0,,,,
1110,,,,,
1111,,,28513.0,,
1112,28513.0,,,,
1113,,,,,
1114,,,,28514.0,
1115,,,28516.0,,
1116,28517.0,,,,
1117,,,,,
1118,,,28521.0,,
1119,28522.0,,,,
1120,,,,,
1121,,,28525.0,,
1122,28526.0,,,,
1123,,,,,
1124,,,,28527.0,
1125,,,28530.0,,
1126,28530.0,,,,
1127,,,,,
1128,,,28534.0,,
1129,28535.0,,,,
1130,,,,,
1131,,,28539.0,,
1132,28540.0,,,,
1133,,,,,
1134,,,,28541.0,
1135,,,28543.0,,
1136,28544.0,,,,
1137,,,,,
1138,,,28550.0,,
1139,28550.0,,,,
1140,,,,,
1141,,,28555.0,,
1142,28556.0,,,,
1143,,,,,
1144,,,,28557.0,
1145,,,28557.0,,
1146,28558.0,,,,
1147,,,,,
1148,,,28561.0,,
